Year,SERIES,REF_AREA,URBANISATION,UNIT_MEASURE,GeoCode,Value
2014,SH_STA_BRTC,KH08,,PT,KH08,95.7
2000,SH_STA_BRTC,KH09,,PT,KH09,30.6
2005,SH_STA_BRTC,KH10,,PT,KH10,28.6
2010,SH_STA_BRTC,KH10,,PT,KH10,44.4
2014,SH_STA_BRTC,KH10,,PT,KH10,51.9
2005,SH_STA_BRTC,KH22,,PT,KH22,15.2
2010,SH_STA_BRTC,KH22,,PT,KH22,64.4
2014,SH_STA_BRTC,KH22,,PT,KH22,88.7
2000,SH_STA_BRTC,KH12,,PT,KH12,88.9
2005,SH_STA_BRTC,KH12,,PT,KH12,86.0
2010,SH_STA_BRTC,KH12,,PT,KH12,98.8
2014,SH_STA_BRTC,KH12,,PT,KH12,96.1
2000,SH_STA_BRTC,KH14,,PT,KH14,25.3
2005,SH_STA_BRTC,KH14,,PT,KH14,28.0
2010,SH_STA_BRTC,KH14,,PT,KH14,59.2
2014,SH_STA_BRTC,KH14,,PT,KH14,97.6
2000,SH_STA_BRTC,KH15,,PT,KH15,19.0
2005,SH_STA_BRTC,KH15,,PT,KH15,31.7
2010,SH_STA_BRTC,KH15,,PT,KH15,73.9
2014,SH_STA_BRTC,KH15,,PT,KH15,86.1
2005,SH_STA_BRTC,KH17,,PT,KH17,28.6
2010,SH_STA_BRTC,KH17,,PT,KH17,72.7
2014,SH_STA_BRTC,KH17,,PT,KH17,93.0
2000,SH_STA_BRTC,KH20,,PT,KH20,22.4
2005,SH_STA_BRTC,KH20,,PT,KH20,28.9
2010,SH_STA_BRTC,KH20,,PT,KH20,89.6
2014,SH_STA_BRTC,KH20,,PT,KH20,94.3
2000,SH_STA_BRTC,KH21,,PT,KH21,39.5
2005,SH_STA_BRTC,KH21,,PT,KH21,62.1
2010,SH_STA_BRTC,KH21,,PT,KH21,85.4
2014,SH_STA_BRTC,KH21,,PT,KH21,97.4
2000,SH_STA_BRTC,KH_AGG_KH02_KH24,,PT,KH_AGG_KH02_KH24,44.7
2005,SH_STA_BRTC,KH_AGG_KH02_KH24,,PT,KH_AGG_KH02_KH24,59.3
2010,SH_STA_BRTC,KH_AGG_KH02_KH24,,PT,KH_AGG_KH02_KH24,78.1
2014,SH_STA_BRTC,KH_AGG_KH02_KH24,,PT,KH_AGG_KH02_KH24,94.1
2000,SH_STA_BRTC,KH_AGG_KH07_KH18_KH23,,PT,KH_AGG_KH07_KH18_KH23,30.8
2000,SH_STA_BRTC,KH_AGG_KH10_KH13_KH19,,PT,KH_AGG_KH10_KH13_KH19,40.5
2000,SH_STA_BRTC,KH_AGG_KH11_KH16,,PT,KH_AGG_KH11_KH16,14.2
2005,SH_STA_BRTC,KH_AGG_KH11_KH16,,PT,KH_AGG_KH11_KH16,13.7
2010,SH_STA_BRTC,KH_AGG_KH11_KH16,,PT,KH_AGG_KH11_KH16,38.4
2014,SH_STA_BRTC,KH_AGG_KH11_KH16,,PT,KH_AGG_KH11_KH16,53.6
2000,SH_STA_BRTC,KH_AGG_KH22_KH17,,PT,KH_AGG_KH22_KH17,12.0
2005,SH_STA_BRTC,KH_AGG_KH07_KH23,,PT,KH_AGG_KH07_KH23,41.0
2010,SH_STA_BRTC,KH_AGG_KH07_KH23,,PT,KH_AGG_KH07_KH23,66.5
2014,SH_STA_BRTC,KH_AGG_KH07_KH23,,PT,KH_AGG_KH07_KH23,90.5
2005,SH_STA_BRTC,KH_KH09_KH18,,PT,KH_KH09_KH18,57.1
2010,SH_STA_BRTC,KH_KH09_KH18,,PT,KH_KH09_KH18,79.2
2014,SH_STA_BRTC,KH_KH09_KH18,,PT,KH_KH09_KH18,97.5
2005,SH_STA_BRTC,KH_AGG_KH13_KH19,,PT,KH_AGG_KH13_KH19,12.9
2010,SH_STA_BRTC,KH_AGG_KH13_KH19,,PT,KH_AGG_KH13_KH19,28.2
2014,SH_STA_BRTC,KH_AGG_KH13_KH19,,PT,KH_AGG_KH13_KH19,54.6
